Abstract,Titulo_Real,Titulo_Predito,Score,Experimento
we improve the upper bound on the minimal resources required for measurement-based quantum computation. minimizing the resources required for this model is a key issue for experimental realization of a quantum computer based on projective measurements. this new upper bound allows also to reply in the negative to the open question about the existence of a trade-off between observable and ancillary qubits in measurement-based quantum computation.,towards minimal resources of measurement-based quantum computation,minimal resources for measurement-based quantum computation,0.9733559,full_lora
"we present a spitzer based census of the ic 348 nebula and embedded star cluster. our spitzer census supplemented by ground based spectra has added 42 class ii t-tauri sources to the cluster membership and identified ~20 class 0/i protostars. the population of ic 348 likely exceeds 400 sources after accounting statistically for unidentified diskless members. our spitzer census of ic 348 reveals a population of protostars that is anti-correlated spatially with the t-tauri members, which comprise the centrally condensed cluster around a b star. the protostars are instead found mostly at the cluster periphery about 1 pc from the b star and spread out along a filamentary ridge. we find that the star formation rate in this protostellar ridge is consistent with that rate which built the exposed cluster while the presence of fifteen cold, starless, millimeter cores intermingled with this protostellar population indicates that the ic 348 nebula has yet to finish forming stars. we show that the ic 348 cluster is of order 3-5 crossing times old, and, as evidenced by its smooth radial profile and confirmed mass segregation, is likely relaxed. while it seems apparent that the current cluster configuration is the result of dynamical evolution and its primordial structure has been erased, our findings support a model where embedded clusters are built up from numerous smaller sub-clusters. finally, the results of our spitzer census indicate that the supposition that star formation must progress rapidly in a dark cloud should not preclude these observations that show it can be relatively long lived.",a spitzer census of the ic 348 nebula,a spitzer census of the ic 348 nebula,1.0000001,full_lora
"we present a theory of transport through interacting quantum dots coupled to normal and superconducting leads in the limit of weak tunnel coupling. a josephson current between two superconducting leads, carried by first-order tunnel processes, can be established by non-equilibrium proximity effect. both andreev and josephson current is suppressed for bias voltages below a threshold set by the coulomb charging energy. a $\pi$-transition of the supercurrent can be driven by tuning gate or bias voltages.",non-equilibrium josephson and andreev current through interacting quantum dots,tunneling-induced josephson currents across superconducting junctions,0.6432878,full_lora
"we present the first x-ray detection of the very young pulsar psr j1357-6429 (characteristic age of 7.3 kyr) using data from the xmm-newton and chandra satellites. we find that the spectrum is well described by a power-law plus blackbody model, with photon index gamma=1.4 and blackbody temperature kt=160 ev. for the estimated distance of 2.5 kpc, this corresponds to a 2-10 kev luminosity of about 1.2e+32 erg/s, thus the fraction of the spin-down energy channeled by psr j1357-6429 into x-ray emission is one of the lowest observed. the chandra data confirm the positional coincidence with the radio pulsar and allow to set an upper limit of 3e+31 erg/s on the 2-10 kev luminosity of a compact pulsar wind nebula. we do not detect any pulsed emission from the source and determine an upper limit of 30% for the modulation amplitude of the x-ray emission at the radio frequency of the pulsar.",discovery of x-ray emission from the young radio pulsar psr j1357-6429,the radio pulse from the young pulsar psr j1357-6429: evidence for the existence of a compact stellar wind,0.6300713,full_lora
"we theoretically investigate the possibility of observing resonant activation in the hopping dynamics of two-mode semiconductor lasers. we present a series of simulations of a rate-equations model under random and periodic modulation of the bias current. in both cases, for an optimal choice of the modulation time-scale, the hopping times between the stable lasing modes attain a minimum. the simulation data are understood by means of an effective one-dimensional langevin equation with multiplicative fluctuations. our conclusions apply to both edge emitting and vertical cavity lasers, thus opening the way to several experimental tests in such optical systems.",resonant activation in bistable semiconductor lasers,resonant activation of two-mode semiconductor lasers: a theoretical study,0.73035705,full_lora
some of the means through which the possible presence of nearly deconfined quarks in neutron stars can be detected by astrophysical observations of neutron stars from their birth to old age are highlighted.,quark matter and the astrophysics of neutron stars,possible detection of near-deconfined quarks in neutron stars: an overview,0.68257976,full_lora
"we classify all fusion categories for a given set of fusion rules with three simple object types. if a conjecture of ostrik is true, our classification completes the classification of fusion categories with three simple object types. to facilitate the discussion we describe a convenient, concrete and useful variation of graphical calculus for fusion categories, discuss pivotality and sphericity in this framework, and give a short and elementary re-proof of the fact that the quadruple dual functor is naturally isomorphic to the identity.",some non-braided fusion categories of rank 3,fusion categories with three simple object types,0.64324886,full_lora
"we have been monitoring supernova (sn) 1987a with {\it chandra x-ray observatory} since 1999. we present a review of previous results from our {\it chandra} observations, and some preliminary results from new {\it chandra} data obtained in 2006 and 2007. high resolution imaging and spectroscopic studies of sn 1987a with {\it chandra} reveal that x-ray emission of sn 1987a originates from the hot gas heated by interaction of the blast wave with the ring-like dense circumstellar medium (csm) that was produced by the massive progenitor's equatorial stellar winds before the sn explosion. the blast wave is now sweeping through dense csm all around the inner ring, and thus sn 1987a is rapidly brightening in soft x-rays. at the age of 20 yr (as of 2007 january), x-ray luminosity of sn 1987a is $l_{\rm x}$ $\sim$ 2.4 $\times$ 10$^{36}$ ergs s$^{-1}$ in the 0.5$-$10 kev band. x-ray emission is described by two-component plane shock model with electron temperatures of $kt$ $\sim$ 0.3 and 2 kev. as the shock front interacts with dense csm all around the inner ring, the x-ray remnant is now expanding at a much slower rate of $v$ $\sim$ 1400 km s$^{-1}$ than it was until 2004 ($v$ $\sim$ 6000 km s$^{-1}$).",chandra observations of supernova 1987a,the x-ray properties of sn 1987a: an update after 2007,0.34694415,full_lora
"we extend our previous classification of superpotentials of ``scalar curvature type"" for the cohomogeneity one ricci-flat equations. we now consider the case not covered in our previous paper, i.e., when some weight vector of the superpotential lies outside (a scaled translate of) the convex hull of the weight vectors associated with the scalar curvature function of the principal orbit. in this situation we show that either the isotropy representation has at most 3 irreducible summands or the first order subsystem associated to the superpotential is of the same form as the calabi-yau condition for submersion type metrics on complex line bundles over a fano k\""ahler-einstein product.",classification of superpotentials,superpotentials of scalar curvature type and its relation to submersion type metrics on complex manifolds,0.59576476,full_lora
"the minimum semi-degree of a digraph d is the minimum of its minimum outdegree and its minimum indegree. we show that every sufficiently large digraph d with minimum semi-degree at least n/2 +k-1 is k-linked. the bound on the minimum semi-degree is best possible and confirms a conjecture of manoussakis from 1990. we also determine the smallest minimum semi-degree which ensures that a sufficiently large digraph d is k-ordered, i.e. that for every ordered sequence of k distinct vertices of d there is a directed cycle which encounters these vertices in this order.",linkedness and ordered cycles in digraphs,minimum semi-degree and ordering in digraphs,0.66944504,full_lora
